socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Médio,Nordeste,PI,Rural,Privada,1,254.58772336363646,254.58772336363646,
Médio,Nordeste,PI,Rural,Pública,3,257.5615027580382,255.2885896153846,23.805677719576355
Médio,Nordeste,PI,Urbana,Privada,8,269.4428153015108,266.5191649192546,7.81866546866048
Médio,Nordeste,PI,Urbana,Pública,66,268.0951962673678,271.4884516154894,25.02907487119665
Médio,Nordeste,RN,Rural,Privada,1,261.4849845,261.4849845,
Médio,Nordeste,RN,Rural,Pública,24,237.01799460318963,231.80040499053027,19.337333409588837
Médio,Nordeste,RN,Urbana,Privada,5,263.83158090392897,260.71814868181815,16.61285666774
Médio,Nordeste,RN,Urbana,Pública,117,243.40917829140446,243.61346150000006,15.376576881034898
Médio,Nordeste,SE,Rural,Pública,5,243.646675902785,250.27211439130437,18.60518062040027
Médio,Nordeste,SE,Urbana,Privada,4,260.6325086891966,267.1709635608108,15.989747139053833
Médio,Nordeste,SE,Urbana,Pública,99,243.58472971365805,241.57283738888884,11.970572896158997
Médio,Norte,AC,Rural,Pública,2,244.860029007881,244.860029007881,8.8063543155189
Médio,Norte,AC,Urbana,Pública,24,252.65850842645884,254.11837064284248,8.851074443034008
Médio,Norte,AM,Rural,Pública,19,241.0228662524762,240.71270012121212,19.09606737941049
Médio,Norte,AM,Urbana,Pública,157,252.5917656150955,251.6943096737423,14.335556473152105
Médio,Norte,AP,Rural,Pública,10,229.6139281191372,228.87939124869888,8.381946767055625
Médio,Norte,AP,Urbana,Pública,42,233.05719780645245,233.01267777199539,9.488966654876995
Médio,Norte,PA,Rural,Privada,1,237.32515207692302,237.32515207692302,
Médio,Norte,PA,Rural,Pública,45,239.45699662612225,237.76040455093337,17.19664191568194
Médio,Norte,PA,Urbana,Privada,2,236.69465607545732,236.69465607545732,18.293039971045307
Médio,Norte,PA,Urbana,Pública,185,247.31781543448318,245.093447445767,13.08581572625233
Médio,Norte,RO,Rural,Pública,70,247.09975246483486,246.01761038980266,16.12238021350319
Médio,Norte,RO,Urbana,Pública,135,245.39965309961013,245.05812740434115,11.669970383221303
Médio,Norte,RR,Rural,Pública,5,218.02195435597736,215.62503366666667,9.037893409214767
Médio,Norte,RR,Urbana,Pública,32,233.75233620843255,233.62728465934475,10.495984593433596
Médio,Norte,TO,Rural,Privada,1,263.52108274285723,263.52108274285723,
Médio,Norte,TO,Rural,Pública,15,243.54256698992893,243.73515476269094,12.449483217428796
Médio,Norte,TO,Urbana,Privada,1,276.2684307083333,276.2684307083333,
Médio,Norte,TO,Urbana,Pública,140,244.90581756862957,245.63306453919841,12.783396723969101
Médio,Sudeste,ES,Rural,Pública,71,260.96131470461023,260.3299009871178,18.705378959119173
Médio,Sudeste,ES,Urbana,Pública,284,255.26763213081378,254.07844546155692,17.584919485275485
Médio,Sudeste,MG,Rural,Privada,1,217.716673625,217.716673625,
Médio,Sudeste,MG,Rural,Pública,115,250.34105318787007,248.5972718461538,21.05650414637727
Médio,Sudeste,MG,Urbana,Pública,1124,244.3172838305708,244.35255638849068,15.367374090292818
Médio,Sudeste,RJ,Rural,Pública,96,242.73155953049584,241.13986695434227,19.846900643476054
Médio,Sudeste,RJ,Urbana,Pública,891,241.80677639400685,241.94255735483867,18.498971684727895
Médio,Sudeste,SP,Rural,Pública,53,256.8405436204312,256.5159735,16.077492671392317
Médio,Sudeste,SP,Urbana,Pública,985,244.5769846942751,243.48677473494985,13.011070590437237
Médio,Sul,PR,Rural,Pública,87,261.9078181457653,262.3316247104832,17.405486305029488
Médio,Sul,PR,Urbana,Pública,220,254.15413266796054,253.96426351548422,14.095822819849694
Médio,Sul,RS,Rural,Pública,96,246.3200573546084,246.55683858333333,20.82382494357497
Médio,Sul,RS,Urbana,Pública,407,238.17393409752287,237.16834574431786,17.55138099100779
Médio,Sul,SC,Rural,Pública,27,253.93119744672208,253.9098467058824,18.130629266803957
Médio,Sul,SC,Urbana,Pública,62,244.5851268379926,244.76395951538464,13.349304758604255
Alto,Centro-Oeste,DF,Rural,Pública,14,239.63945774556012,241.35919307947435,11.445522358670171
Alto,Centro-Oeste,DF,Urbana,Pública,69,240.04788042340337,239.86591497277348,11.33936220154368
Alto,Centro-Oeste,GO,Rural,Pública,33,261.9243856363455,257.8466365,24.271448733174406
Alto,Centro-Oeste,GO,Urbana,Pública,431,263.3388349958528,262.09785204347827,17.190957761199904
Alto,Centro-Oeste,MS,Rural,Pública,28,238.6868903777628,235.67501900732606,15.968116691167626
Alto,Centro-Oeste,MS,Urbana,Pública,180,247.6739062026641,247.3351175915073,12.84022556643248
Alto,Centro-Oeste,MT,Rural,Pública,40,245.24552193500094,241.5640286265708,18.125464131658926
Alto,Centro-Oeste,MT,Urbana,Privada,3,248.15197873596836,237.32529619999997,21.922412343707126
Alto,Centro-Oeste,MT,Urbana,Pública,170,246.3029867417394,245.95918719322572,12.814740106776343
