socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Alto,Sul,RS,Rural,Pública,148,252.83977167083495,254.4782365454545,19.87830264705564
Alto,Sul,RS,Urbana,Pública,788,253.7596545243817,254.89388923939072,16.524972798499103
Alto,Sul,SC,Rural,Pública,65,255.52894091144324,255.78972000000002,16.23888257161636
Alto,Sul,SC,Urbana,Pública,305,254.03128513725366,255.1054180769231,14.669708586484152
Muito alto,Centro-Oeste,DF,Rural,Pública,3,260.7448101752954,268.6865950587365,28.29338076562352
Muito alto,Centro-Oeste,DF,Urbana,Privada,49,287.17538536215005,289.0550064666666,18.13224436725432
Muito alto,Centro-Oeste,DF,Urbana,Pública,76,259.628330248689,261.8564495906395,14.427128183071384
Muito alto,Centro-Oeste,GO,Rural,Privada,1,275.3576189655172,275.3576189655172,
Muito alto,Centro-Oeste,GO,Rural,Pública,10,273.7645785249994,284.2026123863636,34.549353079078216
Muito alto,Centro-Oeste,GO,Urbana,Privada,61,288.1084497141045,289.1632701714285,17.453420980020674
Muito alto,Centro-Oeste,GO,Urbana,Pública,175,280.9311593749474,282.7241609130436,15.294222603084906
Muito alto,Centro-Oeste,MS,Rural,Pública,9,237.72875762883692,234.41485866666667,11.778014776140921
Muito alto,Centro-Oeste,MS,Urbana,Privada,75,288.21552037761165,291.2984529444444,19.51481554578617
Muito alto,Centro-Oeste,MS,Urbana,Pública,100,262.9689751818155,263.8984818148458,16.145332526200747
Muito alto,Centro-Oeste,MT,Rural,Pública,4,264.96997296104297,266.17327771375255,10.477220216461708
Muito alto,Centro-Oeste,MT,Urbana,Privada,71,282.3694462106484,284.7450453529412,17.960914494958796
Muito alto,Centro-Oeste,MT,Urbana,Pública,56,264.2282970633628,264.2848574212486,17.105682039487846
Muito alto,Nordeste,AL,Rural,Privada,2,284.18302835416665,284.18302835416665,24.754994323196456
Muito alto,Nordeste,AL,Urbana,Privada,50,281.6973044133469,283.64380939903845,18.274537626547577
Muito alto,Nordeste,AL,Urbana,Pública,1,306.6697010864952,306.6697010864952,
Muito alto,Nordeste,BA,Rural,Pública,1,221.9035815,221.9035815,
Muito alto,Nordeste,BA,Urbana,Privada,20,288.4597750043504,292.65937668216327,18.160520040943226
Muito alto,Nordeste,BA,Urbana,Pública,10,271.7149270714941,278.30525616113493,33.13601538019931
Muito alto,Nordeste,CE,Urbana,Privada,27,285.6318301599782,283.95456133333334,16.871988024983203
Muito alto,Nordeste,CE,Urbana,Pública,5,317.3150128677229,317.54705592044303,6.71834699723503
Muito alto,Nordeste,MA,Urbana,Privada,38,282.1573231932361,287.35125809310847,24.568444312090204
Muito alto,Nordeste,MA,Urbana,Pública,4,298.5927630317426,302.87841369778454,16.971864078774598
Muito alto,Nordeste,PB,Rural,Privada,1,255.92654577777776,255.92654577777776,
Muito alto,Nordeste,PB,Urbana,Privada,41,283.4759821260499,286.6491748666667,17.058346755253158
Muito alto,Nordeste,PB,Urbana,Pública,2,249.55839569050642,249.55839569050642,26.34073592064303
Muito alto,Nordeste,PE,Rural,Pública,1,316.5819587499328,316.5819587499328,
Muito alto,Nordeste,PE,Urbana,Privada,27,291.5318523023625,290.6618665217391,15.826885333535337
Muito alto,Nordeste,PE,Urbana,Pública,5,316.695636225839,318.0480184585716,17.21689320929249
Muito alto,Nordeste,PI,Urbana,Privada,90,294.57235349872894,295.5800349771968,14.782863855115316
Muito alto,Nordeste,RN,Urbana,Privada,42,288.19786041647126,285.76657748711455,18.669870534380973
Muito alto,Nordeste,SE,Rural,Privada,2,288.7216102140151,288.7216102140151,9.606541194457026
Muito alto,Nordeste,SE,Urbana,Privada,44,280.3397491228867,280.45902971659916,19.145852778748385
Muito alto,Nordeste,SE,Urbana,Pública,1,275.7192189162747,275.7192189162747,
Muito alto,Norte,AC,Urbana,Privada,12,294.7200839737714,296.0589169789473,13.721734286044544
Muito alto,Norte,AC,Urbana,Pública,6,287.0468317769096,285.63164893371743,12.164668053489589
Muito alto,Norte,AM,Rural,Privada,1,283.3897148064516,283.3897148064516,
Muito alto,Norte,AM,Urbana,Privada,67,288.95896186839866,288.2546464716982,18.504833998591476
Muito alto,Norte,AM,Urbana,Pública,16,288.5813693374778,288.2836099183428,12.99032063916124
Muito alto,Norte,AP,Urbana,Privada,23,290.36968304552266,288.29372865,12.372896889056557
Muito alto,Norte,AP,Urbana,Pública,5,263.2741597579378,262.8832854709208,9.120992586843048
